playerId,goalieFullName,gamesStarted,goalsAgainst,savePct,goalsAgainstAverage,shutouts,wins,qualityStart,qualityStartsPct,gamesRelievedWins,Vezina Trophies,Stanley Cups,Conn Smythe Trophies,William M. Jennings Trophies,All Stars,Score,Log_Score
8473972,Jonas Hiller,375,960,0.91445,2.54865,23,197,223,0.594666,4,0,0,0,0,1,3.950658101743194,1.5995205175906613
8445769,Sean Burke,776,2290,0.90168,2.95864,38,324,404,0.520618,1,0,0,0,0,3,3.9344349140159873,1.5962381605573221
8448535,Olie Kolzig,692,1885,0.9063,2.7142,35,303,378,0.546242,0,1,0,0,0,0,3.9326546024815827,1.5958773020588262
8475215,Robin Lehner,345,929,0.91653,2.70801,17,152,220,0.637681,2,0,0,0,2,0,3.9250504541358278,1.594334519066162
8474889,Martin Jones,449,1199,0.90532,2.71575,30,236,242,0.538975,2,0,1,0,0,1,3.9213540580128674,1.5935837076827697
8460704,Johan Hedberg,329,977,0.90149,2.82394,22,161,172,0.522796,8,0,0,0,0,0,3.9171556926326714,1.592730252079952
8459541,Tommy Salo,507,1296,0.90464,2.55491,37,210,272,0.536489,3,0,0,0,0,2,3.9069074107971917,1.590643888129502
8462047,Martin Biron,473,1247,0.91024,2.61495,28,230,283,0.598308,3,0,0,0,0,0,3.8840403461060733,1.585972817087817
8476434,John Gibson,466,1315,0.90998,2.89633,24,193,272,0.58369,3,0,0,0,1,3,3.874605478056129,1.5840391735967674
8450005,Eddie Johnston,569,1852,0.8956,3.25146,32,236,282,0.495606,2,0,2,0,0,0,3.857647326421521,1.5805542314897123
8459432,Jocelyn Thibault,551,1508,0.90398,2.75072,39,238,294,0.533575,3,0,0,0,0,1,3.853333032889916,1.579665692195878
8474596,Jake Allen,407,1114,0.90749,2.76265,24,195,237,0.582309,2,0,1,0,0,0,3.837655624440263,1.5764302282653708
8450802,Glenn Resch,524,1761,0.89105,3.27988,26,231,247,0.471374,5,0,1,0,0,3,3.833413561783721,1.5755529596103928
8470657,Jimmy Howard,523,1343,0.91229,2.62007,24,246,315,0.602294,2,0,0,0,0,0,3.829473294307675,1.574737412920646
8464999,Mathieu Garon,302,865,0.90322,2.82969,20,144,161,0.533112,4,0,1,0,0,0,3.826212903540296,1.5740620821726314
8452535,Ken Wregget,524,1916,0.885,3.63287,9,225,226,0.431297,9,0,1,0,0,0,3.788292555393735,1.5661738876239366
8475660,Cam Talbot,465,1220,0.91352,2.63485,31,245,287,0.617204,1,0,0,0,0,0,3.780881354401084,1.5646249132726844
8473541,Jonathan Bernier,363,1022,0.91236,2.77408,18,165,221,0.608815,2,0,1,0,0,0,3.7801806764852284,1.5644783442168941
